StartTime;Dur;Proto;SrcAddr;Sport;Dir;DstAddr;Dport;State;sTos;dTos;TotPkts;TotBytes;SrcBytes;Label
jueves, 18 de agosto de 2011;8.306.214.100.000.000.000.000;tcp;147.32.84.202;1078;<?>;65.54.89.106;80;RPA_FPA;0;0;43065;40974671;1033777;flow=Background
jueves, 18 de agosto de 2011;49.772.045.900.000.000.000.000;tcp;88100184137;13121;<?>;147.32.85.26;62860;RPA_PA;0;0;326962;132430976;7076046;flow=Background
jueves, 18 de agosto de 2011;97.128.814.700.000.000.000.000;tcp;147.32.84.2;80;<?>;218.75.208.58;3088;PA_A;0;0;7912;7356876;7153650;flow=Background
jueves, 18 de agosto de 2011;89.999.639.900.000.000.000.000;tcp;90.181.84.58;54518;<?>;147.32.84.19;993;PA_PA;0;0;48;5728;3008;flow=Background
jueves, 18 de agosto de 2011;3.875.344.500.000.000.000.000;tcp;147.32.86.116;19083; ?>;151.82.9.107;2185;RPA_;0;0;7;456;456;flow=Background
jueves, 18 de agosto de 2011;66.299.438.500.000.000.000.000;tcp;218.75.208.58;3095;<?>;147.32.84.2;80;RA_PA;0;0;6137;5700818;158064;flow=Background
jueves, 18 de agosto de 2011;48.588.577.300.000.000.000.000;tcp;218.75.208.58;3090;<?>;147.32.84.2;80;FRA_PA;0;0;4153;3858512;106820;flow=Background
jueves, 18 de agosto de 2011;97.128.405.800.000.000.000.000;udp;147.32.84.59;19146;<->;128.178.78.132;51180;CON;0;0;118864;29360448;22872870;flow=Background
jueves, 18 de agosto de 2011;96.997.851.600.000.000.000.000;tcp;147.32.84.164;57264;<?>;64.12.68.227;443;PA_RPA;0;0;53;4279;1791;flow=From-Normal
jueves, 18 de agosto de 2011;96.012.866.200.000.000.000.000;tcp;147.32.84.164;43869;<?>;64.12.73.134;443;PA_A;0;0;38;2280;1140;flow=From-Normal
jueves, 18 de agosto de 2011;96.012.664.800.000.000.000.000;tcp;147.32.84.164;58187;<?>;205.188.8.253;443;PA_PA;0;0;129;22731;7130;flow=From-Normal
jueves, 18 de agosto de 2011;93.197.052.000.000.000.000.000;tcp;74125232201;80;<?>;147.32.84.170;32792;PA_PA;0;0;147;74900;13404;flow=To-Background
jueves, 18 de agosto de 2011;95.909.545.900.000.000.000.000;tcp;74125232216;443;<?>;147.32.84.170;33389;PA_PA;0;0;191;61146;30372;flow=To-Background
jueves, 18 de agosto de 2011;4.013.708.900.000.000.000.000;tcp;74125108215;80;<?>;147.32.86.194;3994;FPA_FA;0;0;4727;4558603;4452163;flow=Background
jueves, 18 de agosto de 2011;6.091.801.800.000.000.000.000;tcp;147.32.85.8;39842;<?>;74.125.232.195;80;FA_FA;0;0;8;528;264;flow=Background-google-analytics
jueves, 18 de agosto de 2011;95.516.888.400.000.000.000.000;tcp;141.70.81.136;48602;<?>;147.32.84.229;13363;PA_PA;0;0;487;55798;35900;flow=Background
jueves, 18 de agosto de 2011;93.804.327.400.000.000.000.000;udp;147.32.84.229;13363;<->;85.230.179.76;35188;CON;0;0;43;8328;4371;flow=Background
jueves, 18 de agosto de 2011;90.596.801.800.000.000.000.000;tcp;147.32.84.229;13363;<?>;41.66.238.159;60612;PA_PA;0;0;42;2836;1630;flow=Background
jueves, 18 de agosto de 2011;93.578.955.100.000.000.000.000;tcp;147.32.86.110;49422;<?>;188.95.61.42;53389;PA_PA;0;0;41644;10902960;3019813;flow=Background
jueves, 18 de agosto de 2011;97.122.833.300.000.000.000.000;tcp;157.24.40.14;443;<?>;147.32.84.59;50328;PA_PA;0;0;12677;5272348;4584731;flow=Background
jueves, 18 de agosto de 2011;97.117.395.000.000.000.000.000;tcp;147.32.80.13;80;<?>;147.32.87.223;55716;PA_A;0;0;25374;17175122;16338440;flow=From-Background
jueves, 18 de agosto de 2011;0;udp;66.91.54.166;18253; ->;147.32.84.59;22602;INT;0;0;1;329;329;flow=Background
jueves, 18 de agosto de 2011;0.05345;udp;147.32.84.59;22602;<->;79.116.212.63;21338;CON;0;0;2;464;145;flow=Background
jueves, 18 de agosto de 2011;97.124.432.400.000.000.000.000;udp;195.91.110.64;52059;<->;147.32.85.56;44076;CON;0;0;38318;4097255;4091115;flow=Background
jueves, 18 de agosto de 2011;97.124.420.200.000.000.000.000;udp;147.32.85.56;44076;<->;81.19.46.234;47432;CON;0;0;37250;3952847;3949823;flow=Background
jueves, 18 de agosto de 2011;97.124.414.100.000.000.000.000;tcp;74.63.47.82;80;<?>;147.32.84.59;50050;PA_A;0;0;17424;16484446;16144876;flow=Background
jueves, 18 de agosto de 2011;8.778.848.300.000.000.000.000;tcp;217.64.104.107;19007;<?>;147.32.86.116;19083;PA_RPA;0;0;84;23430;14690;flow=Background
jueves, 18 de agosto de 2011;91.288.018.800.000.000.000.000;tcp;147.32.84.229;13363;<?>;95.103.236.172;19173;PA_PA;0;0;105;9307;4918;flow=Background
jueves, 18 de agosto de 2011;89.158.032.200.000.000.000.000;tcp;147.32.84.229;13363;<?>;62.228.215.189;49259;PA_PA;0;0;56;4765;2646;flow=Background
jueves, 18 de agosto de 2011;94.108.209.200.000.000.000.000;tcp;147.32.84.229;443;<?>;192.100.130.239;56238;PA_PA;0;0;308;28729;13290;flow=Background
jueves, 18 de agosto de 2011;5.553.381.000.000.000.000.000;tcp;147.32.84.229;443;<?>;82.187.103.146;56625;FPA_FPA;0;0;91;33160;6844;flow=Background
jueves, 18 de agosto de 2011;0;udp;188.226.9.56;1955; ->;147.32.84.229;13363;INT;0;0;1;60;60;flow=Background
